method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,transfer_accept,false_accept,false_reject,contract_label,contract_score,contract_worst,onset_error,slip_error,force_slope_error,energy_error,lag_error,target_friction,target_mass,target_actuator_scale,sensor_bias_norm,action_note
random_push,high_friction,1,4,0,0.21748,0.31873,8.52850,0,1,1,0,1,0.58505,2.23214,2.23214,0.14130,0.34008,0.17522,0.03649,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,5,1,0.02085,0.51125,5.77397,0,1,0,0,0,0.13595,0.37003,0.00000,0.10937,0.37003,0.17507,0.02530,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,6,1,0.04298,0.53909,8.64510,0,1,0,0,0,0.28842,0.74405,0.74405,0.16139,0.34398,0.15161,0.04106,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,7,0,0.08836,0.38181,7.32190,0,1,1,0,0,0.32553,0.74405,0.74405,0.20810,0.43023,0.19543,0.04985,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,8,0,0.07724,0.40267,7.10063,0,1,1,0,1,0.60522,2.23214,2.23214,0.19926,0.30795,0.22621,0.06056,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,9,0,0.08513,0.38548,6.26376,0,1,1,0,1,1.31512,5.20833,5.20833,0.77936,0.30729,0.06726,0.21336,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,10,0,0.07925,0.53854,6.43024,0,1,1,0,1,1.59543,6.69643,6.69643,0.66673,0.32957,0.10197,0.18243,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,1,11,0,0.13684,0.39515,6.82857,0,1,1,0,0,0.28405,0.74405,0.74405,0.09214,0.35647,0.19764,0.02996,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,0,0,0.08180,0.36729,7.00657,0,1,1,0,0,0.29471,0.74405,0.74405,0.00392,0.46451,0.25388,0.00717,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,1,0,0.14817,0.39176,6.22383,0,1,1,0,1,0.78265,2.97619,2.97619,0.43595,0.30159,0.08532,0.11420,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,2,0,0.15705,0.36162,6.62397,0,1,1,0,1,1.13638,4.46429,4.46429,0.52549,0.40766,0.14637,0.13810,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,3,1,0.04267,0.53806,9.15334,0,1,0,0,0,0.24845,0.74405,0.74405,0.03752,0.31283,0.14421,0.00364,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,4,0,0.19624,0.43220,5.09356,0,1,1,0,0,0.32505,0.74405,0.74405,0.40474,0.28110,0.08664,0.10874,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,5,0,0.07541,0.52960,9.64473,0,1,1,0,0,0.37328,0.74405,0.74405,0.55265,0.32550,0.11123,0.13295,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,6,1,0.05650,0.54409,9.21556,0,1,0,0,1,0.96522,3.72024,3.72024,0.40264,0.42171,0.17584,0.10566,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,7,0,0.11521,0.35507,5.77748,0,1,1,0,1,0.68977,2.97619,2.97619,0.01020,0.28586,0.17235,0.00426,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,8,1,0.02597,0.57451,9.43337,0,1,0,0,0,0.14918,0.35758,0.00000,0.19035,0.35758,0.15105,0.04694,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,9,0,0.08209,0.41088,6.95422,0,1,1,0,0,0.31383,0.74405,0.74405,0.20414,0.38801,0.17980,0.05313,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,10,0,0.11001,0.39336,7.31211,0,1,1,0,1,1.70524,6.69643,6.69643,1.07548,0.37893,0.07827,0.29711,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,2,11,0,0.08233,0.46425,7.06870,0,1,1,0,1,0.57191,2.23214,2.23214,0.14331,0.25669,0.18477,0.04263,1.2500,0.1650,0.9600,0.00000,random
