method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,transfer_accept,false_accept,false_reject,contract_label,contract_score,contract_worst,onset_error,slip_error,force_slope_error,energy_error,lag_error,target_friction,target_mass,target_actuator_scale,sensor_bias_norm,action_note
full_mechanism_contract_mpc,combined_gap,0,0,1,0.04256,0.54559,8.12123,0,0,0,1,1,1.69445,6.69643,6.69643,0.79870,0.70259,0.10974,0.16477,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,1,0,0.12036,0.45090,8.55613,0,0,0,0,1,4.56013,18.60119,18.60119,2.56769,0.94568,0.08575,0.60034,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,2,1,0.03800,0.66578,32.65770,0,0,0,1,1,2.00424,3.90249,2.23214,2.48572,3.90249,0.66620,0.73465,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,3,0,0.20916,0.51629,7.55754,0,0,0,0,1,0.88914,2.23214,2.23214,0.89399,0.87204,0.23842,0.20909,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,4,0,0.09787,0.57424,10.58985,0,0,0,0,1,3.59287,14.88095,14.88095,1.83980,0.82238,0.00819,0.41304,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,5,0,0.10343,0.57253,8.70116,0,0,0,0,1,0.70308,2.23214,2.23214,0.34581,0.62836,0.23106,0.07804,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,6,0,0.13017,0.40909,6.52964,0,0,0,0,1,0.58552,2.23214,2.23214,0.20078,0.34403,0.08886,0.06179,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,7,0,0.07947,0.51704,8.46134,0,0,0,0,1,1.16605,2.97619,2.97619,2.21693,0.31955,0.23147,0.08611,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,8,0,0.07847,0.57822,13.89338,0,0,0,0,1,2.94236,11.90476,11.90476,1.45646,0.91059,0.10953,0.33049,1.1800,0.2400,0.8200,0.04500,models=1
full_mechanism_contract_mpc,combined_gap,0,9,0,0.08246,0.43276,8.21634,0,0,0,0,1,1.17638,2.97619,2.97619,2.56501,0.13462,0.12131,0.08476,1.1800,0.2400,0.8200,0.04500,models=1
