split,contract_failure_corr,best_balanced_violation_detection,mean_contract_score,contract_positive_rate
nominal_target,0.0000,1.0000,0.4561,0.6833
high_friction,0.0000,0.9861,0.5014,0.6000
low_friction,0.0000,1.0000,0.4186,0.4667
mass_compliance,0.0000,0.9896,0.6416,0.8000
actuator_lag,-0.3647,1.0000,0.6191,0.7667
sensor_bias,-0.4820,0.9561,2.5112,0.9500
combined_gap,-0.1923,0.9661,2.7648,0.9833
