method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
full_mechanism_contract_mpc,combined_gap,0.4833,0.1275,0.0903,0.0161,0.5275,0.0204,0.0333,0.0333,0.4833,2.1418,60,5
no_actuator_lag_contract,combined_gap,0.5667,0.1264,0.0788,0.0132,0.5062,0.0205,0.0667,0.0333,0.5333,2.5557,60,5
no_contact_onset_contract,combined_gap,0.5667,0.1264,0.0806,0.0135,0.5391,0.0207,0.4167,0.2333,0.3833,0.8787,60,5
no_energy_contract,combined_gap,0.5500,0.1269,0.0809,0.0150,0.5495,0.0360,0.0667,0.0333,0.5167,2.6068,60,5
no_force_slope_contract,combined_gap,0.4333,0.1264,0.0949,0.0140,0.5269,0.0237,0.0833,0.0500,0.4000,1.6499,60,5
no_slip_contract,combined_gap,0.6000,0.1250,0.0830,0.0149,0.5220,0.0171,0.0833,0.0167,0.5333,1.9400,60,5
scalar_residual_only,combined_gap,0.6500,0.1217,0.0735,0.0123,0.5407,0.0217,0.9667,0.3500,0.0333,0.1910,60,5
