variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5838,0.0103,0.4162,0.0103,0.0118,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4121,0.0122,0.5879,0.0122,0.0125,7,600
observed_only_behavior_clone,embodiment_shift,0.4562,0.0140,0.5438,0.0140,0.0152,7,600
observed_only_behavior_clone,combined_stress,0.3343,0.0109,0.6657,0.0109,0.0120,7,600
data_augmentation_wam,nominal,0.6486,0.0202,0.3514,0.0202,0.0240,7,600
data_augmentation_wam,hidden_mode_shift,0.4919,0.0175,0.5081,0.0175,0.0214,7,600
data_augmentation_wam,embodiment_shift,0.5305,0.0154,0.4695,0.0154,0.0196,7,600
data_augmentation_wam,combined_stress,0.4255,0.0112,0.5745,0.0112,0.0118,7,600
scalar_uncertainty_planner,nominal,0.6805,0.0060,0.3195,0.0060,0.0047,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5507,0.0164,0.4493,0.0164,0.0184,7,600
scalar_uncertainty_planner,embodiment_shift,0.5757,0.0127,0.4243,0.0127,0.0130,7,600
scalar_uncertainty_planner,combined_stress,0.4993,0.0129,0.5007,0.0129,0.0138,7,600
ensemble_disagreement_planner,nominal,0.7052,0.0157,0.2948,0.0157,0.0110,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5883,0.0162,0.4117,0.0162,0.0143,7,600
ensemble_disagreement_planner,embodiment_shift,0.6271,0.0152,0.3729,0.0152,0.0162,7,600
ensemble_disagreement_planner,combined_stress,0.5512,0.0186,0.4488,0.0186,0.0184,7,600
conformal_risk_filter,nominal,0.7188,0.0153,0.2812,0.0153,0.0143,7,600
conformal_risk_filter,hidden_mode_shift,0.6224,0.0159,0.3776,0.0159,0.0207,7,600
conformal_risk_filter,embodiment_shift,0.6381,0.0138,0.3619,0.0138,0.0120,7,600
conformal_risk_filter,combined_stress,0.5736,0.0113,0.4264,0.0113,0.0125,7,600
proposed_branch_mechanism,nominal,0.7559,0.0105,0.2441,0.0105,0.0089,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6905,0.0130,0.3095,0.0130,0.0128,7,600
proposed_branch_mechanism,embodiment_shift,0.7102,0.0111,0.2898,0.0111,0.0105,7,600
proposed_branch_mechanism,combined_stress,0.6622,0.0116,0.3378,0.0116,0.0103,7,600
oracle_branch_upper_bound,nominal,0.8088,0.0142,0.1912,0.0142,0.0115,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7624,0.0179,0.2376,0.0179,0.0152,7,600
oracle_branch_upper_bound,embodiment_shift,0.7762,0.0091,0.2238,0.0091,0.0077,7,600
oracle_branch_upper_bound,combined_stress,0.7431,0.0145,0.2569,0.0145,0.0147,7,600
