method,split,seed,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
domain_randomized_mpc,actuator_lag,2,0.9167,0.1633,0.0620,0.0061,0.3484,0.0189,1.0000,0.0833,0.0000,0.4478,12,1
domain_randomized_mpc,actuator_lag,3,0.9167,0.1633,0.0543,0.0089,0.3825,0.0212,1.0000,0.0833,0.0000,0.7395,12,1
domain_randomized_mpc,actuator_lag,4,0.9167,0.1633,0.0573,0.0074,0.3758,0.0245,1.0000,0.0833,0.0000,0.4440,12,1
domain_randomized_mpc,combined_gap,0,0.3333,0.2786,0.1108,0.0333,0.4966,0.0701,1.0000,0.6667,0.0000,1.4617,12,1
domain_randomized_mpc,combined_gap,1,0.5833,0.2913,0.0932,0.0385,0.5784,0.0683,1.0000,0.4167,0.0000,2.8372,12,1
domain_randomized_mpc,combined_gap,2,0.2500,0.2559,0.1229,0.0392,0.4761,0.0506,1.0000,0.7500,0.0000,1.8505,12,1
domain_randomized_mpc,combined_gap,3,0.5833,0.2913,0.1028,0.0416,0.5484,0.0931,1.0000,0.4167,0.0000,2.4332,12,1
domain_randomized_mpc,combined_gap,4,0.7500,0.2559,0.0701,0.0204,0.5535,0.0246,1.0000,0.2500,0.0000,3.7482,12,1
domain_randomized_mpc,high_friction,0,1.0000,0.0000,0.0230,0.0048,0.5340,0.0358,1.0000,0.0000,0.0000,0.5356,12,1
domain_randomized_mpc,high_friction,1,1.0000,0.0000,0.0251,0.0020,0.5265,0.0349,1.0000,0.0000,0.0000,0.6943,12,1
domain_randomized_mpc,high_friction,2,1.0000,0.0000,0.0208,0.0018,0.5581,0.0411,1.0000,0.0000,0.0000,0.5919,12,1
domain_randomized_mpc,high_friction,3,1.0000,0.0000,0.0234,0.0020,0.5255,0.0291,1.0000,0.0000,0.0000,0.3787,12,1
domain_randomized_mpc,high_friction,4,1.0000,0.0000,0.0228,0.0024,0.5291,0.0348,1.0000,0.0000,0.0000,0.4753,12,1
domain_randomized_mpc,low_friction,0,1.0000,0.0000,0.0291,0.0118,0.4063,0.0388,1.0000,0.0000,0.0000,0.5636,12,1
domain_randomized_mpc,low_friction,1,1.0000,0.0000,0.0293,0.0121,0.4171,0.0322,1.0000,0.0000,0.0000,0.3964,12,1
domain_randomized_mpc,low_friction,2,1.0000,0.0000,0.0211,0.0106,0.4041,0.0247,1.0000,0.0000,0.0000,0.5001,12,1
domain_randomized_mpc,low_friction,3,1.0000,0.0000,0.0290,0.0104,0.4199,0.0352,1.0000,0.0000,0.0000,0.4926,12,1
domain_randomized_mpc,low_friction,4,1.0000,0.0000,0.0276,0.0114,0.4115,0.0341,1.0000,0.0000,0.0000,0.4398,12,1
domain_randomized_mpc,mass_compliance,0,1.0000,0.0000,0.0259,0.0031,0.5004,0.0342,1.0000,0.0000,0.0000,0.8728,12,1
domain_randomized_mpc,mass_compliance,1,1.0000,0.0000,0.0242,0.0043,0.5076,0.0389,1.0000,0.0000,0.0000,0.9332,12,1
domain_randomized_mpc,mass_compliance,2,1.0000,0.0000,0.0230,0.0053,0.4897,0.0327,1.0000,0.0000,0.0000,0.7044,12,1
domain_randomized_mpc,mass_compliance,3,1.0000,0.0000,0.0219,0.0040,0.4976,0.0429,1.0000,0.0000,0.0000,0.7247,12,1
domain_randomized_mpc,mass_compliance,4,1.0000,0.0000,0.0257,0.0025,0.5000,0.0372,1.0000,0.0000,0.0000,0.6187,12,1
domain_randomized_mpc,nominal_target,0,1.0000,0.0000,0.0224,0.0063,0.4521,0.0374,1.0000,0.0000,0.0000,0.3658,12,1
domain_randomized_mpc,nominal_target,1,1.0000,0.0000,0.0249,0.0054,0.4365,0.0415,1.0000,0.0000,0.0000,0.4383,12,1
domain_randomized_mpc,nominal_target,2,1.0000,0.0000,0.0258,0.0086,0.4833,0.0344,1.0000,0.0000,0.0000,0.5162,12,1
domain_randomized_mpc,nominal_target,3,1.0000,0.0000,0.0287,0.0049,0.4752,0.0316,1.0000,0.0000,0.0000,0.1937,12,1
domain_randomized_mpc,nominal_target,4,1.0000,0.0000,0.0174,0.0070,0.4225,0.0270,1.0000,0.0000,0.0000,0.3398,12,1
domain_randomized_mpc,sensor_bias,0,0.5000,0.2955,0.0858,0.0401,0.4182,0.0430,1.0000,0.5000,0.0000,3.0217,12,1
domain_randomized_mpc,sensor_bias,1,0.6667,0.2786,0.0752,0.0430,0.4365,0.0331,1.0000,0.3333,0.0000,2.5418,12,1
domain_randomized_mpc,sensor_bias,2,0.4167,0.2913,0.1146,0.0559,0.4021,0.0411,1.0000,0.5833,0.0000,3.5580,12,1
domain_randomized_mpc,sensor_bias,3,0.4167,0.2913,0.1076,0.0439,0.4498,0.0507,1.0000,0.5833,0.0000,1.9224,12,1
domain_randomized_mpc,sensor_bias,4,0.5833,0.2913,0.0706,0.0242,0.4514,0.0311,1.0000,0.4167,0.0000,2.9708,12,1
ensemble_uncertainty_mpc,actuator_lag,0,1.0000,0.0000,0.0595,0.0052,0.3807,0.0282,1.0000,0.0000,0.0000,0.5256,12,1
ensemble_uncertainty_mpc,actuator_lag,1,1.0000,0.0000,0.0601,0.0051,0.3551,0.0222,1.0000,0.0000,0.0000,0.5822,12,1
ensemble_uncertainty_mpc,actuator_lag,2,0.9167,0.1633,0.0611,0.0054,0.3745,0.0259,1.0000,0.0833,0.0000,0.5119,12,1
ensemble_uncertainty_mpc,actuator_lag,3,1.0000,0.0000,0.0590,0.0043,0.3692,0.0231,1.0000,0.0000,0.0000,0.6142,12,1
ensemble_uncertainty_mpc,actuator_lag,4,1.0000,0.0000,0.0584,0.0041,0.3464,0.0154,1.0000,0.0000,0.0000,0.6107,12,1
ensemble_uncertainty_mpc,combined_gap,0,0.5000,0.2955,0.1192,0.0520,0.5100,0.0497,1.0000,0.5000,0.0000,1.7436,12,1
ensemble_uncertainty_mpc,combined_gap,1,0.4167,0.2913,0.1005,0.0358,0.5072,0.0375,1.0000,0.5833,0.0000,2.8536,12,1
ensemble_uncertainty_mpc,combined_gap,2,0.6667,0.2786,0.0889,0.0319,0.5039,0.0452,1.0000,0.3333,0.0000,1.7103,12,1
ensemble_uncertainty_mpc,combined_gap,3,0.3333,0.2786,0.0920,0.0241,0.5305,0.0482,1.0000,0.6667,0.0000,2.3955,12,1
ensemble_uncertainty_mpc,combined_gap,4,0.3333,0.2786,0.1092,0.0387,0.5170,0.0386,1.0000,0.6667,0.0000,2.9236,12,1
ensemble_uncertainty_mpc,high_friction,0,1.0000,0.0000,0.0229,0.0016,0.5107,0.0318,1.0000,0.0000,0.0000,0.5596,12,1
ensemble_uncertainty_mpc,high_friction,1,1.0000,0.0000,0.0229,0.0031,0.5719,0.0368,1.0000,0.0000,0.0000,0.5916,12,1
ensemble_uncertainty_mpc,high_friction,2,1.0000,0.0000,0.0233,0.0019,0.5207,0.0317,1.0000,0.0000,0.0000,0.5204,12,1
