ablation,combined_stress_mean_success,ci95_success,interpretation
full_proposed_branch_mechanism,0.6719,0.0098,all components
minus_branch_atlas,0.5652,0.0130,removes explicit unrealized futures
minus_tail_risk_objective,0.5779,0.0152,uses mean predicted value only
minus_diagnostic_probe,0.6102,0.0194,does not actively test ambiguous physical modes
minus_failure_memory,0.6071,0.0202,does not reuse repaired beliefs
