method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
random_push,nominal_target,0.3500,0.1217,0.0984,0.0115,0.3702,0.0145,1.0000,0.6500,0.0000,0.3763,60,5
random_push,sensor_bias,0.1000,0.0766,0.1547,0.0159,0.3612,0.0145,1.0000,0.9000,0.0000,2.6398,60,5
residual_adaptation_mpc,actuator_lag,0.9833,0.0327,0.0589,0.0028,0.3708,0.0086,1.0000,0.0167,0.0000,0.5796,60,5
residual_adaptation_mpc,combined_gap,0.6833,0.1187,0.0710,0.0108,0.5313,0.0177,1.0000,0.3167,0.0000,2.3755,60,5
residual_adaptation_mpc,high_friction,1.0000,0.0000,0.0116,0.0013,0.5451,0.0127,1.0000,0.0000,0.0000,0.5476,60,5
residual_adaptation_mpc,low_friction,1.0000,0.0000,0.0431,0.0026,0.3336,0.0082,1.0000,0.0000,0.0000,0.4451,60,5
residual_adaptation_mpc,mass_compliance,1.0000,0.0000,0.0138,0.0013,0.4895,0.0121,1.0000,0.0000,0.0000,0.6810,60,5
residual_adaptation_mpc,nominal_target,1.0000,0.0000,0.0099,0.0011,0.4340,0.0097,1.0000,0.0000,0.0000,0.3896,60,5
residual_adaptation_mpc,sensor_bias,0.5000,0.1276,0.0911,0.0173,0.4201,0.0182,1.0000,0.5000,0.0000,2.0229,60,5
source_sim_mpc,actuator_lag,0.9833,0.0327,0.0614,0.0021,0.3660,0.0085,1.0000,0.0167,0.0000,0.7005,60,5
source_sim_mpc,combined_gap,0.5167,0.1275,0.0943,0.0119,0.5322,0.0167,1.0000,0.4833,0.0000,2.9791,60,5
source_sim_mpc,high_friction,1.0000,0.0000,0.0175,0.0009,0.5324,0.0100,1.0000,0.0000,0.0000,0.5597,60,5
source_sim_mpc,low_friction,1.0000,0.0000,0.0129,0.0011,0.3956,0.0104,1.0000,0.0000,0.0000,0.5426,60,5
source_sim_mpc,mass_compliance,1.0000,0.0000,0.0202,0.0016,0.4835,0.0114,1.0000,0.0000,0.0000,0.7270,60,5
source_sim_mpc,nominal_target,1.0000,0.0000,0.0100,0.0013,0.4375,0.0106,1.0000,0.0000,0.0000,0.3932,60,5
source_sim_mpc,sensor_bias,0.4000,0.1250,0.0911,0.0161,0.4260,0.0125,1.0000,0.6000,0.0000,2.1947,60,5
system_id_probe_mpc,actuator_lag,0.6833,0.1187,0.0573,0.0073,0.3620,0.0126,1.0000,0.3167,0.0000,0.6143,60,5
system_id_probe_mpc,combined_gap,0.5000,0.1276,0.0908,0.0203,0.5651,0.0353,1.0000,0.5000,0.0000,2.6476,60,5
system_id_probe_mpc,high_friction,1.0000,0.0000,0.0220,0.0042,0.5495,0.0162,1.0000,0.0000,0.0000,0.4692,60,5
system_id_probe_mpc,low_friction,1.0000,0.0000,0.0353,0.0043,0.3580,0.0140,1.0000,0.0000,0.0000,0.4947,60,5
system_id_probe_mpc,mass_compliance,1.0000,0.0000,0.0326,0.0045,0.4978,0.0150,1.0000,0.0000,0.0000,0.6922,60,5
system_id_probe_mpc,nominal_target,1.0000,0.0000,0.0399,0.0039,0.4157,0.0147,1.0000,0.0000,0.0000,0.4261,60,5
system_id_probe_mpc,sensor_bias,0.5333,0.1273,0.1006,0.0169,0.4294,0.0206,1.0000,0.4667,0.0000,2.4754,60,5
