method,split,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
conformal_transfer_filter,actuator_lag,0.9833,0.0327,0.0568,0.0023,0.3635,0.0085,0.9333,0.0000,0.0500,0.4834,60,5
conformal_transfer_filter,combined_gap,0.5667,0.1264,0.0925,0.0147,0.5198,0.0202,0.4333,0.2167,0.3500,2.2897,60,5
conformal_transfer_filter,high_friction,1.0000,0.0000,0.0112,0.0017,0.5309,0.0117,0.9667,0.0000,0.0333,0.4859,60,5
conformal_transfer_filter,low_friction,1.0000,0.0000,0.0434,0.0016,0.3264,0.0082,1.0000,0.0000,0.0000,0.3859,60,5
conformal_transfer_filter,mass_compliance,0.9833,0.0327,0.0192,0.0036,0.4852,0.0107,0.8333,0.0000,0.1500,0.7804,60,5
conformal_transfer_filter,nominal_target,1.0000,0.0000,0.0116,0.0018,0.4361,0.0095,0.9500,0.0000,0.0500,0.3903,60,5
conformal_transfer_filter,sensor_bias,0.5000,0.1276,0.0968,0.0221,0.4087,0.0161,0.4667,0.3167,0.3500,2.3746,60,5
domain_randomized_mpc,actuator_lag,0.9500,0.0556,0.0575,0.0033,0.3675,0.0109,1.0000,0.0500,0.0000,0.6336,60,5
domain_randomized_mpc,combined_gap,0.5000,0.1276,0.1000,0.0160,0.5306,0.0299,1.0000,0.5000,0.0000,2.4662,60,5
domain_randomized_mpc,high_friction,1.0000,0.0000,0.0230,0.0013,0.5346,0.0156,1.0000,0.0000,0.0000,0.5351,60,5
domain_randomized_mpc,low_friction,1.0000,0.0000,0.0272,0.0049,0.4118,0.0145,1.0000,0.0000,0.0000,0.4785,60,5
domain_randomized_mpc,mass_compliance,1.0000,0.0000,0.0241,0.0018,0.4990,0.0162,1.0000,0.0000,0.0000,0.7708,60,5
domain_randomized_mpc,nominal_target,1.0000,0.0000,0.0238,0.0030,0.4539,0.0161,1.0000,0.0000,0.0000,0.3708,60,5
domain_randomized_mpc,sensor_bias,0.5167,0.1275,0.0908,0.0189,0.4316,0.0181,1.0000,0.4833,0.0000,2.8029,60,5
ensemble_uncertainty_mpc,actuator_lag,0.9833,0.0327,0.0596,0.0021,0.3652,0.0106,1.0000,0.0167,0.0000,0.5689,60,5
ensemble_uncertainty_mpc,combined_gap,0.4500,0.1269,0.1019,0.0165,0.5137,0.0192,1.0000,0.5500,0.0000,2.3253,60,5
ensemble_uncertainty_mpc,high_friction,1.0000,0.0000,0.0221,0.0012,0.5369,0.0156,1.0000,0.0000,0.0000,0.5707,60,5
ensemble_uncertainty_mpc,low_friction,1.0000,0.0000,0.0205,0.0045,0.4004,0.0137,1.0000,0.0000,0.0000,0.4872,60,5
ensemble_uncertainty_mpc,mass_compliance,1.0000,0.0000,0.0240,0.0015,0.4889,0.0124,1.0000,0.0000,0.0000,0.6579,60,5
ensemble_uncertainty_mpc,nominal_target,1.0000,0.0000,0.0170,0.0019,0.4382,0.0124,1.0000,0.0000,0.0000,0.4057,60,5
ensemble_uncertainty_mpc,sensor_bias,0.5500,0.1269,0.0812,0.0177,0.4258,0.0175,1.0000,0.4500,0.0000,2.6196,60,5
mechanism_contract_mpc,actuator_lag,0.6500,0.1217,0.0707,0.0046,0.3536,0.0090,0.2333,0.1500,0.5667,0.6191,60,5
mechanism_contract_mpc,combined_gap,0.5000,0.1276,0.0871,0.0145,0.5385,0.0236,0.0167,0.0000,0.4833,2.7648,60,5
mechanism_contract_mpc,high_friction,1.0000,0.0000,0.0203,0.0040,0.5207,0.0125,0.4000,0.0000,0.6000,0.5014,60,5
mechanism_contract_mpc,low_friction,1.0000,0.0000,0.0320,0.0043,0.3471,0.0095,0.5333,0.0000,0.4667,0.4186,60,5
mechanism_contract_mpc,mass_compliance,1.0000,0.0000,0.0314,0.0044,0.4635,0.0125,0.2167,0.0000,0.7833,0.6416,60,5
mechanism_contract_mpc,nominal_target,1.0000,0.0000,0.0303,0.0045,0.4182,0.0115,0.3167,0.0000,0.6833,0.4561,60,5
mechanism_contract_mpc,sensor_bias,0.5500,0.1269,0.0778,0.0165,0.4132,0.0170,0.0667,0.0667,0.5500,2.5112,60,5
oracle_target_mpc,actuator_lag,1.0000,0.0000,0.0191,0.0006,0.3660,0.0088,1.0000,0.0000,0.0000,0.5875,60,5
oracle_target_mpc,combined_gap,1.0000,0.0000,0.0056,0.0007,0.6035,0.0203,1.0000,0.0000,0.0000,1.9657,60,5
oracle_target_mpc,high_friction,1.0000,0.0000,0.0329,0.0029,0.5410,0.0114,1.0000,0.0000,0.0000,0.5306,60,5
oracle_target_mpc,low_friction,1.0000,0.0000,0.0338,0.0014,0.2649,0.0064,1.0000,0.0000,0.0000,0.4186,60,5
oracle_target_mpc,mass_compliance,1.0000,0.0000,0.0141,0.0004,0.4521,0.0090,1.0000,0.0000,0.0000,0.6778,60,5
oracle_target_mpc,nominal_target,1.0000,0.0000,0.0071,0.0005,0.3824,0.0078,1.0000,0.0000,0.0000,0.3914,60,5
oracle_target_mpc,sensor_bias,1.0000,0.0000,0.0079,0.0010,0.3974,0.0112,1.0000,0.0000,0.0000,2.5383,60,5
random_push,actuator_lag,0.1833,0.0987,0.1134,0.0102,0.3174,0.0127,1.0000,0.8167,0.0000,0.4846,60,5
random_push,combined_gap,0.1000,0.0766,0.1574,0.0149,0.4327,0.0291,1.0000,0.9000,0.0000,2.6376,60,5
random_push,high_friction,0.3000,0.1169,0.1056,0.0141,0.4395,0.0190,1.0000,0.7000,0.0000,0.5580,60,5
random_push,low_friction,0.3167,0.1187,0.1007,0.0117,0.3215,0.0134,1.0000,0.6833,0.0000,0.5000,60,5
random_push,mass_compliance,0.2833,0.1150,0.1125,0.0140,0.4262,0.0171,1.0000,0.7167,0.0000,0.6766,60,5
