stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6962,0.0193
0.0,conformal_risk_filter,0.7112,0.0203
0.0,proposed_branch_mechanism,0.7655,0.0163
0.0,oracle_branch_upper_bound,0.8183,0.0142
0.2,scalar_uncertainty_planner,0.6429,0.0201
0.2,conformal_risk_filter,0.6676,0.0208
0.2,proposed_branch_mechanism,0.7352,0.0192
0.2,oracle_branch_upper_bound,0.7998,0.0168
0.4,scalar_uncertainty_planner,0.5900,0.0183
0.4,conformal_risk_filter,0.6200,0.0210
0.4,proposed_branch_mechanism,0.7086,0.0187
0.4,oracle_branch_upper_bound,0.7776,0.0176
0.6,scalar_uncertainty_planner,0.5321,0.0186
0.6,conformal_risk_filter,0.5769,0.0233
0.6,proposed_branch_mechanism,0.6824,0.0166
0.6,oracle_branch_upper_bound,0.7562,0.0180
0.8,scalar_uncertainty_planner,0.4712,0.0175
0.8,conformal_risk_filter,0.5310,0.0209
0.8,proposed_branch_mechanism,0.6521,0.0143
0.8,oracle_branch_upper_bound,0.7348,0.0194
1.0,scalar_uncertainty_planner,0.4136,0.0183
1.0,conformal_risk_filter,0.4824,0.0186
1.0,proposed_branch_mechanism,0.6226,0.0198
1.0,oracle_branch_upper_bound,0.7171,0.0203
